time,q1,q2,q3,q4,q5,q6,q1_dot,q2_dot,q3_dot,q4_dot,q5_dot,q6_dot,q1_ddot,q2_ddot,q3_ddot,q4_ddot,q5_ddot,q6_ddot,tau1,tau2,tau3,tau4,tau5,tau6
0.000000000000000000e+00,0.000000000000000000e+00,-1.570796326794896558e+00,1.570796326794896558e+00,-1.570796326794896558e+00,-1.570796326794896558e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.749240719988165438e+01,-1.749240719988165438e+01,-1.633364999520381167e+00,7.105427357601000825e-10,0.000000000000000000e+00
3.200000000000000067e-02,2.039159568398015460e-06,-1.570794967355184202e+00,1.570796326794896558e+00,-1.570797686234608914e+00,-1.570796326794896558e+00,1.359439712265343569e-06,1.905567097195889350e-04,1.270378064797259747e-04,0.000000000000000000e+00,-1.270378064797259205e-04,0.000000000000000000e+00,1.270378064797259476e-04,1.183308070621843545e-02,7.888720470812292038e-03,0.000000000000000000e+00,-7.888720470812288568e-03,0.000000000000000000e+00,7.888720470812290303e-03,7.215205232124364577e-03,-1.748150140963709021e+01,-1.748775387827905092e+01,-1.632895910293264530e+00,1.508744932799717527e-04,3.213122632191989189e-20
6.400000000000000133e-02,1.615636938497766229e-05,-1.570785555881973217e+00,1.570796326794896558e+00,-1.570807097707819899e+00,-1.570796326794896558e+00,1.077091292331844209e-05,7.524391158247238729e-04,5.016260772164826904e-04,0.000000000000000000e+00,-5.016260772164824735e-04,0.000000000000000000e+00,5.016260772164825819e-04,2.320884428369412653e-02,1.547256285579608724e-02,0.000000000000000000e+00,-1.547256285579608030e-02,0.000000000000000000e+00,1.547256285579608377e-02,1.415245251155364432e-02,-1.747135226045121215e+01,-1.748328017057763617e+01,-1.632444913540453735e+00,2.959260435190436871e-04,-5.081978125326458885e-19
9.600000000000000200e-02,5.400091734198798015e-05,-1.570760326183335165e+00,1.570796326794896558e+00,-1.570832327406457951e+00,-1.570796326794896558e+00,3.600061156132531784e-05,1.671107943116997927e-03,1.114071962077998763e-03,0.000000000000000000e+00,-1.114071962077998329e-03,0.000000000000000000e+00,1.114071962077998546e-03,3.413322029001207569e-02,2.275548019334138611e-02,0.000000000000000000e+00,-2.275548019334137917e-02,0.000000000000000000e+00,2.275548019334138264e-02,2.081751595002805447e-02,-1.746227586953033395e+01,-1.747898319925420552e+01,-1.632011687870537520e+00,4.352495473309607389e-04,5.832562789473472989e-19
1.280000000000000027e-01,1.267598704588124487e-04,-1.570711820214590659e+00,1.570796326794896558e+00,-1.570880833375202457e+00,-1.570796326794896558e+00,8.450658030587496130e-05,2.932213662240720949e-03,1.954809108160480632e-03,0.000000000000000000e+00,-1.954809108160479765e-03,0.000000000000000000e+00,1.954809108160480199e-03,4.461213828275727850e-02,2.974142552183819260e-02,0.000000000000000000e+00,-2.974142552183817872e-02,0.000000000000000000e+00,2.974142552183818566e-02,2.721737701149279723e-02,-1.745457601823122573e+01,-1.747485975912071510e+01,-1.631595863151491743e+00,5.689507085331563328e-04,2.091890676884889132e-17
1.600000000000000033e-01,2.451641467489360546e-04,-1.570632884030397358e+00,1.570796326794896558e+00,-1.570959769559395758e+00,-1.570796326794896558e+00,1.634427644992906940e-04,4.521596489682926275e-03,3.014397659788618095e-03,0.000000000000000000e+00,-3.014397659788616794e-03,0.000000000000000000e+00,3.014397659788617661e-03,5.465152781951471139e-02,3.643435187967648120e-02,0.000000000000000000e+00,-3.643435187967646732e-02,0.000000000000000000e+00,3.643435187967647426e-02,3.336003944657960768e-02,-1.744854424313120589e+01,-1.747090634539521403e+01,-1.631197024414143382e+00,6.971436729205462198e-04,1.300671539197331179e-16
1.920000000000000040e-01,4.194945870869125240e-04,-1.570516663736838625e+00,1.570796326794896558e+00,-1.571075989852954491e+00,-1.570796326794896558e+00,2.796630580579416827e-04,6.425286387773367774e-03,4.283524258515579095e-03,0.000000000000000000e+00,-4.283524258515577360e-03,0.000000000000000000e+00,4.283524258515578227e-03,6.425731845786940288e-02,4.283821230524628015e-02,0.000000000000000000e+00,-4.283821230524625934e-02,0.000000000000000000e+00,4.283821230524626628e-02,3.925435667396354883e-02,-1.744445991398795215e+01,-1.746711916447532431e+01,-1.630814729513011319e+00,8.199530210469039128e-04,-1.228626213468168379e-17
2.240000000000000047e-01,6.595880270753304905e-04,-1.570356601443513078e+00,1.570796326794896558e+00,-1.571236052146280038e+00,-1.570796326794896558e+00,4.397253513835536784e-04,8.629503064684511393e-03,5.753002043123008752e-03,0.000000000000000000e+00,-5.753002043123006150e-03,0.000000000000000000e+00,5.753002043123007017e-03,7.343543975540631208e-02,4.895695983693755526e-02,0.000000000000000000e+00,-4.895695983693753445e-02,0.000000000000000000e+00,4.895695983693754139e-02,4.490987133497832684e-02,-1.744259031912778823e+01,-1.746349413670463235e+01,-1.630448500769868359e+00,9.375051934902146715e-04,-3.562348699487524235e-16
2.560000000000000053e-01,9.748433689117823927e-04,-1.570146431215622140e+00,1.570796326794896558e+00,-1.571446222374170976e+00,-1.570796326794896558e+00,6.498955792745215228e-04,1.112065597443155467e-02,7.413770649621037601e-03,0.000000000000000000e+00,-7.413770649621034131e-03,0.000000000000000000e+00,7.413770649621035866e-03,8.219182126971046054e-02,5.479454751314031397e-02,0.000000000000000000e+00,-5.479454751314028621e-02,0.000000000000000000e+00,5.479454751314030009e-02,5.033666668058654758e-02,-1.744319073969112210e+01,-1.746002689262756746e+01,-1.630097845326522688e+00,1.049934214145225838e-03,-1.551943682034625124e-16
2.880000000000000338e-01,1.374227653255829205e-03,-1.569880175026059366e+00,1.570796326794896558e+00,-1.571712478563733750e+00,-1.570796326794896558e+00,9.161517688372193980e-04,1.388534431687240937e-02,9.256896211248274650e-03,0.000000000000000000e+00,-9.256896211248271181e-03,0.000000000000000000e+00,9.256896211248272915e-03,9.053239255836684207e-02,6.035492837224456369e-02,0.000000000000000000e+00,-6.035492837224454288e-02,0.000000000000000000e+00,6.035492837224455676e-02,5.554522939362675077e-02,-1.744650454103413040e+01,-1.745671277348267836e+01,-1.629762249508866834e+00,1.157376839656401373e-03,-2.842142009443646384e-16
